[08:50:37] [38;5;220m=== Binance USDT-M 永续 采集·机构级（补齐+实时｜5m..1d） ===[0m
[08:51:09] [BF] CUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] CVCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] CVXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] CYBERUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] DASHUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] DEEPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] DEGENUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DEGOUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DENTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DEXEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DFUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DIAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DMCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DODOXUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DOGEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DOGSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DOLOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DOODUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DOTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:10] [BF] DRIFTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:11] [BF] DUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:51:11] [BF] DUSKUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:51:11] [BF] DYDXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:11] [BF] DYMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] EDUUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] EGLDUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] EIGENUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] ENAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:12] [BF] ENJUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
