symbol,timeframe,rows,first_ts,last_ts,first_iso,last_iso,expected,coverage,fresh,ok,status
ALICEUSDT,5m,106313,1723725600000,1755267300000,,,105120,1.0113,1,1,OK
ALLUSDT,15m,1504,1754472600000,1755267300000,,,35040,0.0429,1,0,LOW_COVERAGE
ALLUSDT,1h,378,1754470800000,1755266400000,,,8760,0.0432,1,0,TOO_FEW_ROWS|LOW_COVERAGE
ALLUSDT,30m,752,1754472600000,1755266400000,,,17520,0.0429,1,0,TOO_FEW_ROWS|LOW_COVERAGE
ALLUSDT,5m,4508,1754472600000,1755267300000,,,105120,0.0429,1,0,LOW_COVERAGE
ALPHAUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ALPHAUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ALPHAUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ALPHAUSDT,5m,106313,1723725600000,1755267300000,,,105120,1.0113,1,1,OK
ALPINEUSDT,15m,18584,1746524700000,1755267300000,,,35040,0.5304,1,0,LOW_COVERAGE
ALPINEUSDT,1h,4855,1746522000000,1755266400000,,,8760,0.5542,1,0,LOW_COVERAGE
ALPINEUSDT,30m,8890,1746523800000,1755266400000,,,17520,0.5074,1,0,LOW_COVERAGE
ALPINEUSDT,5m,57346,1746524700000,1755267600000,,,105120,0.5455,1,0,LOW_COVERAGE
ALTUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ALTUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ALTUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ALTUSDT,5m,106314,1723725600000,1755267600000,,,105120,1.0114,1,1,OK
ANIMEUSDT,15m,20194,1737651600000,1755267300000,,,35040,0.5763,1,0,LOW_COVERAGE
ANIMEUSDT,1h,5250,1737651600000,1755266400000,,,8760,0.5993,1,0,LOW_COVERAGE
ANIMEUSDT,30m,10198,1737651600000,1755266400000,,,17520,0.5821,1,0,LOW_COVERAGE
