表名,起始日期,结束日期,覆盖天数,目标天数,达标率(%),是否达标,总行数
ROSEUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3582
RPLUSDT_15m,2024-09-09,2025-08-15,341,365,93.4,❌,33082
RUNEUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,108242
RVNUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,106425
SAFEUSDT_5m,2024-10-25,2025-08-15,295,365,80.8,❌,87794
RSRUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,36089
ROSEUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
RPLUSDT_30m,2024-09-09,2025-08-15,341,365,93.4,❌,17042
RUNEUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,37325
RVNUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35477
SAFEUSDT_15m,2024-10-25,2025-08-15,295,365,80.8,❌,29278
RSRUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,19052
RPLUSDT_1h,2024-09-09,2025-08-15,341,365,93.4,❌,9071
RUNEUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,18240
RVNUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17840
SAFEUSDT_30m,2024-10-25,2025-08-15,295,365,80.8,❌,15446
RSRUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,9470
SAGAUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,108425
RPLUSDT_2h,2024-09-09,2025-08-15,341,365,93.4,❌,4136
RUNEUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,9874
RVNUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,9070
SAFEUSDT_1h,2024-10-25,2025-08-15,295,365,80.8,❌,9428
RSRUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
SAGAUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,36295
RPLUSDT_4h,2024-09-09,2025-08-15,341,365,93.4,❌,3434
RUNEUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
RVNUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
SAFEUSDT_2h,2024-10-25,2025-08-15,295,365,80.8,❌,3584
RSRUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3583
SAGAUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,18240
RPLUSDT_1d,2024-09-09,2025-08-15,341,365,93.4,❌,706
RUNEUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3584
RVNUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,2493
SAFEUSDT_4h,2024-10-25,2025-08-15,295,365,80.8,❌,3157
RSRUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
SAGAUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,9270
RUNEUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
RVNUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,439
SAFEUSDT_1d,2024-10-25,2025-08-15,295,365,80.8,❌,660
SAHARAUSDT_5m,2025-06-26,2025-08-15,51,365,14.0,❌,15729
SAGAUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
SANDUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,107060
SAHARAUSDT_15m,2025-06-26,2025-08-15,51,365,14.0,❌,5244
SAGAUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3583
SANTOSUSDT_5m,2024-10-28,2025-08-15,292,365,80.0,❌,85330
SCRTUSDT_5m,2024-11-21,2025-08-15,268,365,73.4,❌,78231
SCRUSDT_5m,2024-10-22,2025-08-15,298,365,81.6,❌,86889
SANDUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,39095
SAHARAUSDT_30m,2025-06-26,2025-08-15,51,365,14.0,❌,2723
SAGAUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
