[08:43:51] [38;5;220m=== Binance USDT-M 永续 采集·机构级（补齐+实时｜5m..1d） ===[0m
[08:43:51] [INFO] ROOT=D:\quant_system_pro (3)\quant_system_pro
[08:43:51] [INFO] DB  =D:\quant_system_v2\data\market_data.db
[08:46:14] [BF][  3.9%] DASHUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:46:14] [BF][  4.0%] DEEPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:14] [BF][  4.0%] DEGENUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:14] [BF][  4.0%] DEGOUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:46:14] [BF][  4.0%] DENTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:14] [BF][  4.1%] DEXEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:14] [BF][  4.1%] DFUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:14] [BF][  4.1%] DIAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:14] [BF][  4.2%] DMCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.2%] DODOXUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:46:15] [BF][  4.2%] DOGEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.3%] DOGSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.3%] DOLOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.3%] DOODUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.3%] DOTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.4%] DRIFTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.4%] DUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.4%] DUSKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.5%] DYDXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.5%] DYMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.5%] EDUUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:46:15] [BF][  4.6%] EGLDUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.6%] EIGENUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.6%] ENAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.7%] ENJUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.7%] ENSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.7%] EPICUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.7%] EPTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.8%] ERAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.8%] ESPORTSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.8%] ETCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.9%] ETHFIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.9%] ETHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  4.9%] ETHWUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.0%] FARTCOINUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.0%] FETUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.0%] FHEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.0%] FIDAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.1%] FILUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.1%] FIOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.1%] FISUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.2%] FLMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.2%] FLOWUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.2%] FLUXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.3%] FORMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.3%] FORTHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.3%] FUNUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.3%] FUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.4%] FXSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.4%] GALAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.4%] GASUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:15] [BF][  5.5%] GHSTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.5%] GLMUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.5%] GMTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.6%] GMXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.6%] GOATUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.6%] GPSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.7%] GRASSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.7%] GRIFFAINUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.7%] GRTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.7%] GTCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.8%] GUNUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.8%] GUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.8%] HAEDALUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.9%] HBARUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.9%] HEIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:25] [BF][  5.9%] HFTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.0%] HIFIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.0%] HIGHUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.0%] HIPPOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.0%] HIVEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.1%] HMSTRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.1%] HOMEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.1%] HOOKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:26] [BF][  6.2%] HOTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
