symbol,tf,rows,last_ts,stale_min,gaps,status
ALTUSDT,5m,105321,1755315300000,2.3,0,OK
ALTUSDT,15m,35107,1755315000000,7.3,0,OK
ALTUSDT,30m,17553,1755315000000,7.3,0,OK
ALTUSDT,1h,8775,1755313200000,37.3,0,STALE
ALTUSDT,2h,4387,1755309600000,97.3,0,STALE
ALTUSDT,4h,2193,1755302400000,217.3,0,STALE
ALTUSDT,1d,366,1755302400000,217.3,0,STALE
ANIMEUSDT,5m,59585,1755315300000,2.3,0,OK
ANIMEUSDT,15m,19863,1755315000000,7.3,0,OK
ANIMEUSDT,30m,9932,1755315000000,7.3,1,GAPS
ANIMEUSDT,1h,4967,1755313200000,37.3,1,STALE
ANIMEUSDT,2h,2485,1755309600000,97.3,1,STALE
ANIMEUSDT,4h,1227,1755302400000,217.3,0,STALE
ANIMEUSDT,1d,206,1755302400000,217.3,0,STALE
ANKRUSDT,5m,105321,1755315300000,2.3,0,OK
ANKRUSDT,15m,35107,1755315000000,7.3,0,OK
ANKRUSDT,30m,17553,1755315000000,7.4,0,OK
ANKRUSDT,1h,8775,1755313200000,37.4,0,STALE
ANKRUSDT,2h,4387,1755309600000,97.4,0,STALE
ANKRUSDT,4h,2193,1755302400000,217.4,0,STALE
ANKRUSDT,1d,366,1755302400000,217.4,0,STALE
APEUSDT,5m,105321,1755315300000,2.4,0,OK
APEUSDT,15m,35107,1755315000000,7.4,0,OK
APEUSDT,30m,17553,1755315000000,7.4,0,OK
APEUSDT,1h,8775,1755313200000,37.4,0,STALE
APEUSDT,2h,4387,1755309600000,97.4,0,STALE
APEUSDT,4h,2193,1755302400000,217.4,0,STALE
APEUSDT,1d,366,1755302400000,217.4,0,STALE
API3USDT,5m,105321,1755315300000,2.4,0,OK
API3USDT,15m,35107,1755315000000,7.4,0,OK
API3USDT,30m,17553,1755315000000,7.4,0,OK
API3USDT,1h,8775,1755313200000,37.4,0,STALE
API3USDT,2h,4387,1755309600000,97.4,0,STALE
API3USDT,4h,2193,1755302400000,217.4,0,STALE
API3USDT,1d,366,1755302400000,217.4,0,STALE
APTUSDT,5m,105321,1755315300000,2.4,0,OK
APTUSDT,15m,35107,1755315000000,7.4,0,OK
APTUSDT,30m,17553,1755315000000,7.4,0,OK
APTUSDT,1h,8775,1755313200000,37.4,0,STALE
APTUSDT,2h,4387,1755309600000,97.4,0,STALE
APTUSDT,4h,2193,1755302400000,217.4,0,STALE
APTUSDT,1d,366,1755302400000,217.4,0,STALE
ARBUSDT,5m,105321,1755315300000,2.4,0,OK
ARBUSDT,15m,35107,1755315000000,7.4,0,OK
ARBUSDT,30m,17553,1755315000000,7.4,0,OK
ARBUSDT,1h,8775,1755313200000,37.4,0,STALE
ARBUSDT,2h,4387,1755309600000,97.4,0,STALE
ARBUSDT,4h,2193,1755302400000,217.4,0,STALE
ARBUSDT,1d,366,1755302400000,217.4,0,STALE
ARCUSDT,5m,61361,1755315300000,2.4,0,OK
ARCUSDT,15m,20455,1755315000000,7.5,0,OK
ARCUSDT,30m,10228,1755315000000,7.5,1,GAPS
ARCUSDT,1h,5115,1755313200000,37.5,1,STALE
ARCUSDT,2h,2559,1755309600000,97.5,1,STALE
ARCUSDT,4h,1264,1755302400000,217.5,0,STALE
ARCUSDT,1d,212,1755302400000,217.5,0,STALE
ARKMUSDT,5m,105321,1755315300000,2.5,0,OK
ARKMUSDT,15m,35107,1755315000000,7.5,0,OK
ARKMUSDT,30m,17553,1755315000000,7.5,0,OK
ARKMUSDT,1h,8775,1755313200000,37.5,0,STALE
ARKMUSDT,2h,4387,1755309600000,97.5,0,STALE
ARKMUSDT,4h,2193,1755302400000,217.5,0,STALE
ARKMUSDT,1d,366,1755302400000,217.5,0,STALE
ARKUSDT,5m,105321,1755315300000,2.5,0,OK
ARKUSDT,15m,35107,1755315000000,7.5,0,OK
ARKUSDT,30m,17553,1755315000000,7.5,0,OK
